Filtered file using ActigraphAuswertung V3.0
Date;Time;Activity
9/11/2009 12:00:00 AM;15:00:00;484
9/11/2009 12:00:00 AM;15:01:00;101
9/11/2009 12:00:00 AM;15:02:00;228
9/11/2009 12:00:00 AM;15:03:00;503
9/11/2009 12:00:00 AM;15:04:00;216
9/11/2009 12:00:00 AM;15:05:00;324
9/11/2009 12:00:00 AM;15:06:00;459
9/11/2009 12:00:00 AM;15:07:00;502
9/11/2009 12:00:00 AM;15:08:00;26
9/11/2009 12:00:00 AM;15:09:00;660
9/11/2009 12:00:00 AM;15:10:00;1206
9/11/2009 12:00:00 AM;15:11:00;744
9/11/2009 12:00:00 AM;15:12:00;223
9/11/2009 12:00:00 AM;15:13:00;1414
9/11/2009 12:00:00 AM;15:14:00;2381
9/11/2009 12:00:00 AM;15:15:00;624
9/11/2009 12:00:00 AM;15:16:00;0
9/11/2009 12:00:00 AM;15:17:00;2369
9/11/2009 12:00:00 AM;15:18:00;854
9/11/2009 12:00:00 AM;15:19:00;710
9/11/2009 12:00:00 AM;15:20:00;3
9/11/2009 12:00:00 AM;15:21:00;0
9/11/2009 12:00:00 AM;15:22:00;1756
9/11/2009 12:00:00 AM;15:23:00;324
9/11/2009 12:00:00 AM;15:24:00;174
9/11/2009 12:00:00 AM;15:25:00;567
9/11/2009 12:00:00 AM;15:26:00;1411
9/11/2009 12:00:00 AM;15:27:00;1678
9/11/2009 12:00:00 AM;15:28:00;186
9/11/2009 12:00:00 AM;15:29:00;423
9/11/2009 12:00:00 AM;15:30:00;583
9/11/2009 12:00:00 AM;15:31:00;965
9/11/2009 12:00:00 AM;15:32:00;0
9/11/2009 12:00:00 AM;15:33:00;418
9/11/2009 12:00:00 AM;15:34:00;281
9/11/2009 12:00:00 AM;15:35:00;0
9/11/2009 12:00:00 AM;15:36:00;231
9/11/2009 12:00:00 AM;15:37:00;482
9/11/2009 12:00:00 AM;15:38:00;843
9/11/2009 12:00:00 AM;15:39:00;480
9/11/2009 12:00:00 AM;15:40:00;0
9/11/2009 12:00:00 AM;15:41:00;700
9/11/2009 12:00:00 AM;15:42:00;672
9/11/2009 12:00:00 AM;15:43:00;646
9/11/2009 12:00:00 AM;15:44:00;1234
9/11/2009 12:00:00 AM;15:45:00;977
9/11/2009 12:00:00 AM;15:46:00;3822
9/11/2009 12:00:00 AM;15:47:00;2927
9/11/2009 12:00:00 AM;15:48:00;1877
9/11/2009 12:00:00 AM;15:49:00;355
9/11/2009 12:00:00 AM;15:50:00;0
9/11/2009 12:00:00 AM;15:51:00;425
9/11/2009 12:00:00 AM;15:52:00;681
9/11/2009 12:00:00 AM;15:53:00;1858
9/11/2009 12:00:00 AM;15:54:00;5
9/11/2009 12:00:00 AM;15:55:00;298
9/11/2009 12:00:00 AM;15:56:00;0
9/11/2009 12:00:00 AM;15:57:00;36
9/11/2009 12:00:00 AM;15:58:00;84
9/11/2009 12:00:00 AM;15:59:00;39
9/11/2009 12:00:00 AM;16:00:00;299
9/11/2009 12:00:00 AM;16:01:00;0
9/11/2009 12:00:00 AM;16:02:00;0
9/11/2009 12:00:00 AM;16:03:00;444
9/11/2009 12:00:00 AM;16:04:00;540
9/11/2009 12:00:00 AM;16:05:00;0
9/11/2009 12:00:00 AM;16:06:00;20
9/11/2009 12:00:00 AM;16:07:00;0
9/11/2009 12:00:00 AM;16:08:00;0
9/11/2009 12:00:00 AM;16:09:00;37
9/11/2009 12:00:00 AM;16:10:00;0
9/11/2009 12:00:00 AM;16:11:00;0
9/11/2009 12:00:00 AM;16:12:00;405
9/11/2009 12:00:00 AM;16:13:00;192
9/11/2009 12:00:00 AM;16:14:00;5
9/11/2009 12:00:00 AM;16:15:00;74
9/11/2009 12:00:00 AM;16:16:00;100
9/11/2009 12:00:00 AM;16:17:00;352
9/11/2009 12:00:00 AM;16:18:00;180
9/11/2009 12:00:00 AM;16:19:00;155
9/11/2009 12:00:00 AM;16:20:00;199
9/11/2009 12:00:00 AM;16:21:00;127
9/11/2009 12:00:00 AM;16:22:00;13
9/11/2009 12:00:00 AM;16:23:00;0
9/11/2009 12:00:00 AM;16:24:00;5
9/11/2009 12:00:00 AM;16:25:00;6
9/11/2009 12:00:00 AM;16:26:00;11
9/11/2009 12:00:00 AM;16:27:00;6
9/11/2009 12:00:00 AM;16:28:00;0
9/11/2009 12:00:00 AM;16:29:00;423
9/11/2009 12:00:00 AM;16:30:00;471
9/11/2009 12:00:00 AM;16:31:00;394
9/11/2009 12:00:00 AM;16:32:00;19
9/11/2009 12:00:00 AM;16:33:00;16
9/11/2009 12:00:00 AM;16:34:00;372
9/11/2009 12:00:00 AM;16:35:00;39
9/11/2009 12:00:00 AM;16:36:00;65
9/11/2009 12:00:00 AM;16:37:00;12
9/11/2009 12:00:00 AM;16:38:00;141
9/11/2009 12:00:00 AM;16:39:00;88
9/11/2009 12:00:00 AM;16:40:00;11
9/11/2009 12:00:00 AM;16:41:00;24
9/11/2009 12:00:00 AM;16:42:00;0
9/11/2009 12:00:00 AM;16:43:00;9
9/11/2009 12:00:00 AM;16:44:00;494
9/11/2009 12:00:00 AM;16:45:00;312
9/11/2009 12:00:00 AM;16:46:00;6
9/11/2009 12:00:00 AM;16:47:00;7
9/11/2009 12:00:00 AM;16:48:00;0
